des_produto;des_detalhes;des_medida;des_ingredientes;des_fabricante;des_marca
Achocolatado Em Pó, Nescau, 3.0, 380g;Fonte de fibras. Tem 33% menos açucares. O produto contem glúten;380 Grama;Açúcar, fibra solúvel (polidextrose), cacau em pó, soro de leite, minerais cálcio e ferro (carbonato de cálcio e pirofosfato férrico), maltodextrina, flocos de cereais (farinha de trigo enriquecida com ferro e ácido fólico, farinha de trigo integral, farinha de cevada, açúcar, farinha de aveia, sal, mineral ferro (fumarato ferroso), vitaminas B1,B2 e B6 (tiamina mononitrato, riboflavina e cloridrato de piridoxina), regulador de acidez fosfato dipotássico, antiumectante carbonato de cálcio e antioxidante ácido ascórbico), vitaminas C, niacina, B2, A,B6 e B12(L- ácido ascórbico, nicotinamida, riboflavina, acetato de retinila, cloridrato de piridoxina, colecalciferol e cianocobalamina), emulsificante leticina de soja e aromatizante.;Nestlé;Nescau
Bebida Vegetal Silk Coco Sem Açúcar 1L;100% Vegetal. Sem adição de açúcares. Sem lactose, glúten e colesterol. 40% do cálcio recomendado por dia. Vitaminas B2, B12 e D. Rico em zinco. Conservar em local seco e arejado. Após aberto, conservar em geladeira (de 1°C a 10°C), devidamente tampado, e consumir em até 7 dias.;1Lt;‎Leite de coco reconstituído, minerais (cálcio e zinco), sal marinho, vitaminas (B2, D2 e B12), aromas naturais, emulsificante lecitina de girassol, estabilizantes gomas alfarroba e gelana e antioxidante ascorbato de sódio.;‎Danone;‎Silk
Cápsulas de Café Lungo 8 Pilão com 10 Cápsulas;Intensidade 8. Contém 10 cápsulas. Tipo lungo. COMPATÍVEL COM MÁQUINAS DE CAFÉ NESPRESSO. Marca de um terceiro, não relacionado à Jacobs Douwe Egberts BR. Comercialização de Cafés Ltda. Todos os blends da l'or são feitos de café cultivado de acordo com métodos de produção sustentáveis ​​e são 100% certificados pela utz;10 Unidade;Café;‎JDE;PILÃO
Nescafe Dolce Gusto, Caffe Matinal, 16 Cápsulas;Nescafé dolce gusto. Fabricante Dolce Gusto. Produto de alta qualidade. Fabricado com o maior cuidado e atenção para os detalhes;16 Unidade;Café torrado moído.;Nestlé;Dolce Gusto
Água de Coco Kero Coco 1L;Rico em Vitaminas. Baixa Caloria. Não contém colesterol. Informação alérgica: sem glúten;1Lt;Água de coco;‎Pepsico;Kero Coco
Energético Monster Lata 473ml;Energético a base de taurina. Pronta para beber. Energético;473ml;Taurina: Glucoronolactona:-Inositol: Complexo de vitaminas B: Niacina, Pantenol, Vitamina B6, Vitamina B12 e vitamina B2, Cafeína.;Monster;Monster
Pipoca Premium Yoki 500g;Milho para pipoca. Pacote com 500g. Premium;500 Grama;‎Milho de pipoca;General Mills Brasil;Yoki
Pipoca Super Premium Yoki 650g;Milho para pipoca. Pote especial. Super premium;650 Grama;‎Milho de pipoca;General Mills Brasil;Yoki
Amendoim Descascado Salgado Yoki 500g;Yoki - viva suas raizes. Amendoim descascado e salgado. Nos mais variados tamanhos. Informação alérgica: sem glúten;500 Grama;‎Amendoim, sal, gordura vegetal e realçador de sabor glutamato monossódico.;General Mills Brasil;Yoki
Achocolatado Toddynho 200ml;Vitaminas a, c e d. Fonte de ácido fólico. Fonte de cálcio;200ml;CONTÉM LEITE E DERIVADOS, PODE CONTER TRIGO, AVEIA E CENTEIO. CONTÉM LACTOSE.;Pepsico;‎Toddynho
Popmicro Toque Chef Yoki 100g;Toque de Chefe. 25% menos sódio comparado com uma média de alimentos de referência do mercado. Microondas;100 Grama;Milho de pipoca, gordura vegetal e sal e tempero (cebola, alho, alecrim, cúrcuma, pimenta-do-reino branca, aipo, realçadores de sabor glutamato monossódico e inosinato de sódio, acidulante ácido cítrico, antiumectante dióxido de silício e aromatizante).;General Mills Brasil;Yoki
Bala Mastigável Mentos Rainbow | 37,5g - 14 unidades;Muito mais sabor. Portátil, fácil de levar em qualquer lugar. Sabor Frutas (Morango, Uva, Abacaxi, Melância, Cereja, Maçã Verde e Limão). Contém 14 unidades;37 Grama;Açúcar, xarope de glicose, gordura vegetal, fécula de mandioca, acidulante: ácido cítrico e ácido málico, aromatizantes, gelificantes: goma arábica, goma gelana, carboximetilcelulose, maltodextrina e amido de milho, emulsificante: ésteres graxos de sacarose, corantes naturais: cúrcuma, carmim, clorofila, vermelho de beterraba, beta caroteno, urucum e antocianina, glaceante: cera de carnaúba.;‎Perfetti Van Melle Brasil LTDA;Mentos
Popcorn Micro Manteiga Yoki 50g;Manteiga. 25% menos sódio comparado com uma média de alimentos de referência do mercado. Micro-ondas. Informação alérgica: sem glúten;50 Grama;Milho de pipoca e gordura vegetal, sal, preparado sabor manteiga (óleo vegetal de soja, gordura vegetal hidrogenada, aromatizante, regulador de acidez ácido acético, corantes naturais cúrcuma e urucum e antioxidante BHT).;General Mills Brasil;Yoki
Bombom Lacta Ouro Branco 1kg;Saboroso. Bombom lacta. Irresistível;1Kg;‎Açucar, gordura vegetal hidrogenada, gordura vegetal, farinha de trigo enriquecida com erro, ácido fólico, vitaminas B1, BE, B3 e zinco.;Mondelez;‎Lacta
